Raster,LAI,PySR_b3,Euqa_b3,PySR_b5,Euqa_b5,ensemble_mean,ensemble_geo_mean
BAR_190627_1041_0019,1.67,1.484673718132591,1.4385682258138646,1.593047192496327,1.6497114870507286,1.4616209719732278,1.4614391662352817
BAR_190627_1041_0020,1.65,1.5962062250980915,1.5220831930477803,1.7075231489955132,1.7764758881500882,1.5591447090729358,1.5587041630341683
BAR_190627_1041_0021,1.36,1.624884453918847,1.5636541648907756,1.6286364302292478,1.6125213108210241,1.5942693094048113,1.5939753272358008
BAR_190627_1041_0022,1.39,1.6209429332956686,1.5679845705355226,1.6902261860342414,1.6947315740231161,1.5944637519155958,1.5942438675203363
BAR_190627_1041_0023,1.2,1.3824754661922332,1.3146510884442848,1.5072710534224014,1.6427266379169763,1.348563277318259,1.3481368166388525
BAR_190627_1041_0024,1.93,1.6960981507322828,1.641195426609356,1.722146157367129,1.6684511471597343,1.6686467886708194,1.6684209684796008
BAR_190627_1041_0025,1.54,1.51237985085597,1.4302397628475934,1.631041933505379,1.662502187177024,1.4713098068517816,1.4707364819109239
BAR_190627_1041_0026,1.37,1.5673228689304182,1.5194207399612412,1.6284042318236531,1.6703858254718238,1.5433718044458296,1.5431859490250783
BAR_190627_1041_0027,1.58,1.6232220214299313,1.5465486927863548,1.7510039970020659,1.793472195524882,1.584885357108143,1.5844216280221892
BAR_190627_1041_0028,1.39,1.6352860775942584,1.5892947097830612,1.7327051924301202,1.8250600123593093,1.6122903936886597,1.6121263945802908
BAR_190627_1041_0029,1.34,1.4592000138685377,1.3719138260199994,1.532732402394064,1.5479215463822782,1.4155569199442686,1.4148839789731247
BAR_190627_1041_0030,1.29,1.430029387543701,1.3226982421439102,1.5251515074442223,1.5263253190913986,1.3763638148438055,1.3753171841863192
BAR_190627_1041_0031,1.55,1.3550604238408095,1.2819097246058684,1.4902348867467599,1.6640255098543522,1.318485074223339,1.3179776685323934
BAR_190627_1041_0032,1.59,1.5179085035432425,1.488694001682132,1.628872791862592,1.7686957765053366,1.5033012526126872,1.503230283199193
BAR_190627_1041_0033,1.34,0.8857729410178374,0.9013545626269162,0.7529217212584183,0.8699373838540856,0.8935637518223768,0.8935297878850431
BAR_190627_1041_0034,1.37,1.044755912728005,1.0518835327691982,0.9422432533608184,1.092153423258487,1.0483197227486016,1.0483136650649185
BAR_190627_1041_0035,1.44,1.0870772204133974,1.078835352611884,1.0150295293098326,1.1021188413147138,1.0829562865126405,1.0829484458648224
BAR_190627_1041_0036,1.46,1.240744397782896,1.232788742247263,1.1676654319326742,1.3950295143261182,1.2367665700150794,1.236760173029967
BAR_190627_1041_0037,1.77,1.3792372491180038,1.3271781714065132,1.4088131504587424,1.5558855029957002,1.3532077102622586,1.35295734235052
BAR_190627_1041_0038,1.57,0.9135551467286558,0.913373384660388,0.7176798752158694,0.8972026096241144,0.9134642656945219,0.9134642611736212
BAR_190627_1041_0039,1.76,1.1966211313034707,1.1923496806246203,1.1075929681487702,1.2892018421541462,1.1944854059640455,1.1944834966370883
BAR_190627_1041_0040,1.82,1.326051205735049,1.3198485981956525,1.2968715262740664,1.3935012192859846,1.3229499019653508,1.3229462668699208
BAR_190627_1041_0041,2.04,1.4896762245188975,1.4743524932939258,1.3892847730962328,1.512482660039209,1.4820143589064116,1.4819945532356447
BAR_190627_1041_0042,1.76,1.3512351369773796,1.3356941421211688,1.3196920322920267,1.5000815269518708,1.3434646395492742,1.343442167377882
BAR_190627_1041_0043,1.74,1.6434514010020753,1.5946140331293286,1.8048413058045687,1.8908285981714927,1.619032717065702,1.6188485620353639
BAR_190627_1041_0044,1.45,1.237574105753031,1.1918099426519508,1.1794487160481781,1.3475624449081685,1.214692024202491,1.2144764814540705
