Raster,Red,Green,Blue,NIR,FC,c_depth,CH,NDVI,NDVIf,EVI,EVI2,SAVI,OSAVI,TSAVIm,TSAVIg,MSR,SR,LAI
BAR_190627_1041_0011,0.08790921630859375,0.07491416625976563,0.013074444580078125,0.29805245361328125,0.3090277777777778,1.591856231689448,2.098805832862853,0.5444665978028957,0.3755469694599226,0.3041235755194158,0.3481418535712994,0.3557883672155108,0.384904744933391,-3.7401788365375186,5.022299628184821,1.1408436403848259,3.3904574074122933,1.35
BAR_190627_1041_0012,0.074703466796875,0.06834209899902344,0.010686586380004883,0.2980118774414062,0.3368055555555556,1.5658887481689447,2.1324928736686704,0.5991393005321712,0.40075177830423825,0.33507990458104264,0.3778995138971251,0.38381657682340525,0.4191889966372854,-3.2481327027566547,8.709531071316492,1.3382771596321952,3.989264357057558,1.45
BAR_190627_1041_0013,0.056502120971679684,0.057390960693359375,0.008286632537841798,0.3072120727539063,0.3784722222222222,1.5539047241210824,2.000217005014419,0.6893048335951979,0.447341065492627,0.39567246365959063,0.4344104682779092,0.43540436223608125,0.47871521296517083,-3.449823129452591,14.921573750610788,1.748876223035593,5.437177710689637,1.71
BAR_190627_1041_0014,0.06360230407714844,0.06257960815429688,0.009066935348510743,0.30217056884765625,0.3836805555555556,1.6986602783203182,2.1390953063964844,0.6522306120266947,0.43514403690607556,0.3691219003093108,0.40996292417080465,0.41333288249936007,0.45374776268578526,-3.2646395460292594,13.05188379528734,1.5641215534054635,4.7509374578809105,1.45
BAR_190627_1041_0015,0.07181806030273438,0.06434290161132812,0.010146577072143555,0.2924642944335938,0.2725694444444444,1.5138540649414125,2.0278544425964355,0.6057011306259007,0.38332478734074027,0.3348658512712756,0.37657371459990446,0.38294123370974054,0.42085382454236264,-2.7812354954404612,14.612671174004745,1.3641452536407788,4.072294534282467,1.34
BAR_190627_1041_0016,0.05051588592529297,0.05701914367675781,0.007302972793579101,0.27867738037109374,0.4670138888888889,1.5729354858398352,2.1172781562805176,0.693092835745848,0.4835798139160297,0.37354524342320516,0.4074558310331129,0.4127412215940139,0.46640358763148826,-1.9496991396472505,-8.832528841049703,1.7693057720678556,5.516628586564327,1.48
BAR_190627_1041_0017,0.04475319671630859,0.055861322021484375,0.006968436813354493,0.2944984497070312,0.5034722222222222,1.4345438385009857,2.0345183920860292,0.7361651907182628,0.5195970578269031,0.41327905550168753,0.4453672915440938,0.446371336991238,0.5002392175967937,-2.5003307847967964,-21.967446936973488,2.0268622261144054,6.580500865085969,1.61
BAR_190627_1041_0018,0.044912980651855464,0.056614056396484376,0.006516433715820313,0.29450980224609374,0.5190972222222222,1.3400856018066492,1.9912648487091065,0.7353567119543712,0.5259924598513143,0.41184483513315456,0.4449772721041332,0.4460150951572083,0.49977059545807767,-2.5025877463528055,-22.300263745326085,2.0215412923509866,6.557342620588839,1.72
BAR_190627_1041_0019,0.047211181640625,0.055645138549804685,0.006606680297851563,0.2876448486328125,0.5052083333333334,1.476771545410159,2.0382725238800057,0.718021015765652,0.5111877006732721,0.39509612582695847,0.429054173745348,0.431991250479629,0.4858658928725867,-2.2439880236635323,-13.695232554339658,1.9122460951375444,6.0927271599000905,1.67
BAR_190627_1041_0020,0.05218515930175781,0.057104104614257814,0.00776053466796875,0.27538741455078125,0.4600694444444444,1.4553713989257773,1.9160227870941162,0.6813826097342959,0.47546248538122987,0.36463941355332774,0.3983956664182157,0.4045607520739228,0.45778263015369786,-1.853207949043394,-7.832214304646791,1.7071485168553606,5.277121278070049,1.65
BAR_190627_1041_0021,0.04413836212158204,0.05726180114746093,0.006531574249267578,0.27038405761718753,0.5243055555555556,1.1862967681884697,1.994484738111496,0.7193309007463334,0.5198575208774179,0.38057044958550457,0.41096244370215845,0.41664727086609743,0.47678610342617006,-1.6907586398942325,-5.254135948486529,1.9201997745145138,6.125828975538258,1.36
