Raster,Red,Green,Blue,NIR,FC,c_depth,CH,vol_cd,VOL_CH,BNDVI,GBNDVI,GNDVI,NDVI,NDVIf,EVI,EVI2,SAVI,OSAVI,TSAVIm,TSAVIg,MSR,SR,LAI
RIP_180805_1044_0012,0.04941644,0.062699402,0.037274551,0.456987061,0.397569444,0.479955444,1.002332673,0.68693623,1.434588638,0.849170761,0.64100197,0.758702963,0.804833735,0.500706468,0.691300759,0.646696669,0.607466022,0.611597359,4.155896661,2.274871335,2.576432652,9.247672682,3.66
RIP_180805_1044_0013,0.045665215,0.062028806,0.036973132,0.4490646,0.381944444,0.647212219,1.155874534,0.889916801,1.589327484,0.847859004,0.638722925,0.757270178,0.815393319,0.496851615,0.697557188,0.647028692,0.608304958,0.616131076,4.722358357,2.423400894,2.683851233,9.833844079,3.19
RIP_180805_1044_0014,0.047740727,0.060140286,0.037016029,0.433195435,0.385416667,0.526111603,0.995671888,0.729979849,1.381494745,0.842555819,0.633615556,0.756189209,0.801467508,0.493273936,0.668254983,0.622595598,0.589418643,0.60139329,5.517575826,2.543859402,2.543812647,9.073917799,3.48
RIP_180805_1044_0015,0.045015533,0.060540112,0.03636248,0.453607397,0.423611111,0.679075432,1.195862154,1.035590034,1.823689784,0.851572589,0.647953373,0.764502945,0.819440581,0.520040802,0.70399196,0.654105044,0.613732949,0.62037297,4.550584675,2.394273383,2.727233924,10.07668604,3.43
RIP_180805_1044_0016,0.057070319,0.062244196,0.037312814,0.415056592,0.373263889,0.551667099,1.056591399,0.741302664,1.419794692,0.835033874,0.613080534,0.739182515,0.75824162,0.471045049,0.605675461,0.576643725,0.552375831,0.566320255,6.068911265,2.519457019,2.180880393,7.272722528,1.69
RIP_180805_1044_0017,0.05967478,0.062071124,0.038312033,0.395159082,0.300347222,0.512452698,1.015221968,0.554089479,1.097708753,0.823231437,0.594855294,0.72849071,0.73759746,0.431431182,0.572159998,0.545191398,0.527030379,0.545650333,8.647943713,2.72762326,2.036340476,6.621877453,2.92
RIP_180805_1044_0018,0.045020195,0.057625253,0.035591272,0.428082153,0.354166667,0.685334206,1.15133148,0.873801112,1.467947636,0.846481295,0.642368074,0.762716185,0.809680949,0.480512003,0.669095076,0.623420224,0.590475337,0.605055343,6.244192015,2.679630849,2.624749047,9.508669459,2.78
RIP_180805_1044_0019,0.052133582,0.061723248,0.037147856,0.420861548,0.336805556,0.587457962,1.081832923,0.712292779,1.311722419,0.837785618,0.619530911,0.744197294,0.779559753,0.461518389,0.633529644,0.596268152,0.56844267,0.582513118,6.097001032,2.579993971,2.348112837,8.072753404,2.74
RIP_180805_1044_0020,0.051242841,0.059500507,0.035583493,0.423391943,0.376736111,0.589734802,1.092280855,0.799827826,1.48140591,0.844943802,0.633217313,0.753566217,0.784074651,0.482368402,0.635512329,0.60164766,0.572751623,0.586398843,5.961749148,2.57189215,2.38627558,8.262460445,2.75
RIP_180805_1044_0021,0.047979192,0.057933124,0.035681989,0.41233313,0.409722222,0.706418419,1.169934064,1.041967168,1.725652745,0.840710784,0.629941941,0.753615645,0.791536358,0.501393369,0.635829306,0.596330521,0.569117875,0.587371757,7.826729341,2.8259217,2.45171907,8.593999111,3.17
